indicator,jenis_kelamin,usia_bulan,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
tbu,L,60,1,110,0.0423,96.1,100.7,105.3,110,114.6,119.2,123.9
tbu,P,0,1,49.1,0.0377,43.6,45.4,47.3,49.1,51,52.9,54.7
tbu,P,1,1,53.7,0.0363,47.8,49.8,51.7,53.7,55.6,57.6,59.5
tbu,P,2,1,57.1,0.0359,51,53,55,57.1,59.1,61.1,63.2
tbu,P,3,1,59.8,0.0351,53.5,55.6,57.7,59.8,61.9,64,66.1
tbu,P,4,1,62.1,0.0354,55.6,57.8,59.9,62.1,64.3,66.4,68.6
tbu,P,5,1,64,0.0344,57.4,59.6,61.8,64,66.2,68.5,70.7
tbu,P,6,1,65.7,0.0342,58.9,61.2,63.5,65.7,68,70.3,72.5
tbu,P,7,1,67.3,0.0342,60.3,62.7,65,67.3,69.6,71.9,74.2
tbu,P,8,1,68.7,0.0342,61.7,64,66.4,68.7,71.1,73.5,75.8
tbu,P,9,1,70.1,0.035,62.9,65.3,67.7,70.1,72.6,75,77.4
tbu,P,10,1,71.5,0.0343,64.1,66.5,69,71.5,73.9,76.4,78.9
tbu,P,11,1,72.8,0.0343,65.2,67.7,70.3,72.8,75.3,77.8,80.3
tbu,P,12,1,74,0.0351,66.3,68.9,71.4,74,76.6,79.2,81.7
tbu,P,13,1,75.2,0.0346,67.3,70,72.6,75.2,77.8,80.5,83.1
tbu,P,14,1,76.4,0.0353,68.3,71,73.7,76.4,79.1,81.7,84.4
tbu,P,15,1,77.5,0.0348,69.3,72,74.8,77.5,80.2,83,85.7
tbu,P,16,1,78.6,0.0356,70.2,73,75.8,78.6,81.4,84.2,87
tbu,P,17,1,79.7,0.0358,71.1,74,76.8,79.7,82.5,85.4,88.2
tbu,P,18,1,80.7,0.0359,72,74.9,77.8,80.7,83.6,86.5,89.4
tbu,P,19,1,81.7,0.0361,72.8,75.8,78.8,81.7,84.7,87.6,90.6
tbu,P,20,1,82.7,0.0363,73.7,76.7,79.7,82.7,85.7,88.7,91.7
tbu,P,21,1,83.7,0.0364,74.5,77.5,80.6,83.7,86.7,89.8,92.9
tbu,P,22,1,84.6,0.0366,75.2,78.4,81.5,84.6,87.7,90.8,94
tbu,P,23,1,85.5,0.0374,76,79.2,82.3,85.5,88.7,91.9,95
tbu,P,24,1,85.7,0.0373,76,79.3,82.5,85.7,88.9,92.2,95.4
tbu,P,25,1,86.6,0.0381,76.8,80,83.3,86.6,89.9,93.1,96.4
tbu,P,26,1,87.4,0.0383,77.5,80.8,84.1,87.4,90.8,94.1,97.4
tbu,P,27,1,88.3,0.0385,78.1,81.5,84.9,88.3,91.7,95,98.4
tbu,P,28,1,89.1,0.0382,78.8,82.2,85.7,89.1,92.5,96,99.4
tbu,P,29,1,89.9,0.0389,79.5,82.9,86.4,89.9,93.4,96.9,100.3
tbu,P,30,1,90.7,0.0391,80.1,83.6,87.1,90.7,94.2,97.7,101.3
tbu,P,31,1,91.4,0.0388,80.7,84.3,87.9,91.4,95,98.6,102.2
tbu,P,32,1,92.2,0.039,81.3,84.9,88.6,92.2,95.8,99.4,103.1
tbu,P,33,1,92.9,0.0393,81.9,85.6,89.3,92.9,96.6,100.3,103.9
tbu,P,34,1,93.6,0.0401,82.5,86.2,89.9,93.6,97.4,101.1,104.8
tbu,P,35,1,94.4,0.0397,83.1,86.8,90.6,94.4,98.1,101.9,105.6
tbu,P,36,1,95.1,0.0405,83.6,87.4,91.2,95.1,98.9,102.7,106.5
tbu,P,37,1,95.7,0.0402,84.2,88,91.9,95.7,99.6,103.4,107.3
tbu,P,38,1,96.4,0.0405,84.7,88.6,92.5,96.4,100.3,104.2,108.1
tbu,P,39,1,97.1,0.0407,85.3,89.2,93.1,97.1,101,105,108.9
tbu,P,40,1,97.7,0.0404,85.8,89.8,93.8,97.7,101.7,105.7,109.7
tbu,P,41,1,98.4,0.0407,86.3,90.4,94.4,98.4,102.4,106.4,110.5
tbu,P,42,1,99,0.0409,86.8,90.9,95,99,103.1,107.2,111.2
tbu,P,43,1,99.7,0.0411,87.4,91.5,95.6,99.7,103.8,107.9,112
tbu,P,44,1,100.3,0.0414,87.9,92,96.2,100.3,104.5,108.6,112.7
tbu,P,45,1,100.9,0.0416,88.4,92.5,96.7,100.9,105.1,109.3,113.5
tbu,P,46,1,101.5,0.0419,88.9,93.1,97.3,101.5,105.8,110,114.2
tbu,P,47,1,102.1,0.0416,89.3,93.6,97.9,102.1,106.4,110.7,114.9
tbu,P,48,1,102.7,0.0419,89.8,94.1,98.4,102.7,107,111.3,115.7
tbu,P,49,1,103.3,0.0421,90.3,94.6,99,103.3,107.7,112,116.4
tbu,P,50,1,103.9,0.0423,90.7,95.1,99.5,103.9,108.3,112.7,117.1
tbu,P,51,1,104.5,0.0421,91.2,95.6,100.1,104.5,108.9,113.3,117.7
tbu,P,52,1,105,0.0424,91.7,96.1,100.6,105,109.5,114,118.4
tbu,P,53,1,105.6,0.0426,92.1,96.6,101.1,105.6,110.1,114.6,119.1
tbu,P,54,1,106.2,0.0428,92.6,97.1,101.6,106.2,110.7,115.2,119.8
tbu,P,55,1,106.7,0.0426,93,97.6,102.2,106.7,111.3,115.9,120.4
tbu,P,56,1,107.3,0.0429,93.4,98.1,102.7,107.3,111.9,116.5,121.1
tbu,P,57,1,107.8,0.0431,93.9,98.5,103.2,107.8,112.5,117.1,121.8
tbu,P,58,1,108.4,0.0429,94.3,99,103.7,108.4,113,117.7,122.4
tbu,P,59,1,108.9,0.0432,94.7,99.5,104.2,108.9,113.6,118.3,123.1
tbu,P,60,1,109.4,0.0434,95.2,99.9,104.7,109.4,114.2,118.9,123.7
bbu,L,0,-0.15,3.3,0.1515,2.1,2.5,2.9,3.3,3.9,4.4,5
bbu,L,1,-0.15,4.5,0.1333,2.9,3.4,3.9,4.5,5.1,5.8,6.6
bbu,L,2,-0.15,5.6,0.125,3.8,4.3,4.9,5.6,6.3,7.1,8
bbu,L,3,-0.15,6.4,0.1172,4.4,5,5.7,6.4,7.2,8,9
bbu,L,4,-0.15,7,0.1143,4.9,5.6,6.2,7,7.8,8.7,9.7
bbu,L,5,-0.15,7.5,0.1133,5.3,6,6.7,7.5,8.4,9.3,10.4
bbu,L,6,-0.15,7.9,0.1076,5.7,6.4,7.1,7.9,8.8,9.8,10.9
bbu,L,7,-0.15,8.3,0.1084,5.9,6.7,7.4,8.3,9.2,10.3,11.4
bbu,L,8,-0.15,8.6,0.1105,6.2,6.9,7.7,8.6,9.6,10.7,11.9
bbu,L,9,-0.15,8.9,0.1067,6.4,7.1,8,8.9,9.9,11,12.3
bbu,L,10,-0.15,9.2,0.1087,6.6,7.4,8.2,9.2,10.2,11.4,12.7
bbu,L,11,-0.15,9.4,0.1117,6.8,7.6,8.4,9.4,10.5,11.7,13
bbu,L,12,-0.15,9.6,0.1146,6.9,7.7,8.6,9.6,10.8,12,13.3
